Et, CCONJ O
primo, ADV O
fuerunt, AUX O
inventa, VERB O
in, ADP O
coquina, NOUN O
domus, NOUN O
dicti, VERB O
Guillelmi, NOUN O
hec, ADJ O
bona, NOUN O

Una, NUM O
scala, NOUN O

Item, ADV O
unum, NUM B-OBJECT
scudellium, NOUN I-OBJECT

Item, ADV O
una, NUM O
sartago, NOUN O

Item, ADV O
unum, NUM O
verutum, VERB O

Item, ADV O
duos, NUM O
banchos, NOUN O

Item, ADV O
unum, NUM B-OBJECT
morterium, NOUN I-OBJECT
lapideum, ADJ I-OBJECT

Item, ADV O
duos, NUM O
trissonos, NOUN O

Item, ADV O
una, NUM B-OBJECT
gaveda, NOUN I-OBJECT

Item, ADV O
duo, NUM B-OBJECT
tripedes, NOUN I-OBJECT

Item, ADV O
i, NUM B-OBJECT
sella, NOUN I-OBJECT

Item, ADV O
x, NUM O
duodenas, NUM O
amannarum, VERB O

Item, ADV O
due, X O
barile, ADJ O

Item, ADV O
i, NUM B-OBJECT
tamis, ADJ I-OBJECT

Item, ADV O
i, NUM O
flaciata, VERB O

In, ADP O
camera, NOUN O
aule, NOUN O
sequntur, VERB O
bona, NOUN O

Primo, ADV O
unum, NUM B-OBJECT
lectum, NOUN I-OBJECT
tabularum, NOUN I-OBJECT

Item, ADV O
basachia, NOUN O

Item, ADV O
matalassium, ADJ O

item, ADV O
i, NUM B-OBJECT
pulvinar, ADJ I-OBJECT

Item, ADV O
flaciata, VERB O
1, NUM O

Item, ADV O
i, NUM O
archa, NOUN O

Item, ADV O
ii, NUM O
banchi, ADJ O

Item, ADV O
i, NUM O
percita, VERB O

Item, ADV O
i, NUM O
curassia, ADJ O
cum, ADP O
gorgeria, NOUN O
de, ADP O
plata, NOUN O

In, ADP O
aula, NOUN O
sequntur, VERB O
hec, ADJ O
bona, NOUN O

Primo, ADV O
i, NUM O
archa, NOUN O

Item, ADV O
i, NUM B-OBJECT
capcia, NOUN I-OBJECT

Item, ADV O
i, NUM O
arquibancum, NOUN O

Item, ADV O
i, NUM O
alia, DET O
capcia, NOUN O

Item, ADV O
i, NUM O
pauca, DET O
capcia, NOUN O

Item, ADV O
i, NUM O
alia, DET O
capcia, NOUN O

Item, ADV O
i, NUM O
banchum, ADJ O

Item, ADV O
una, NUM O
mastra, NOUN O

item, ADV O
i, NUM B-OBJECT
tabula, NOUN I-OBJECT
comedendi, VERB I-OBJECT
cum, ADP I-OBJECT
tabulonis, NOUN I-OBJECT

Item, ADV O
i, NUM O
brochum, ADJ O
sive, CCONJ O
canterium, NOUN O

Item, ADV O
i, NUM O
enbotador, VERB O

Item, ADV O
i, NUM O
missaraba, ADJ O

Item, ADV O
i, NUM O
compas, NOUN O

Item, ADV O
i, NUM B-OBJECT
lancea, NOUN I-OBJECT

Item, ADV O
ii, NUM B-OBJECT
capelli, NOUN I-OBJECT
de, ADP I-OBJECT
feutre, NOUN I-OBJECT

Item, ADV O
unum, NUM O
mantellum, NOUN O
sive, CCONJ O
una, NUM O
clamis, NOUN O
de, ADP O
viridi, NOUN O
panno, NOUN O
cum, ADP O
penna, NOUN O
scurolorum, NOUN O

Item, ADV O
i, NUM O
alium, DET O
mantellum, NOUN O
sive, CCONJ O
unam, NUM O
clamidem, NOUN O
de, ADP O
vario, NOUN O
cum, ADP O
penna, NOUN O
cuniclorum, NOUN O

Item, ADV O
i, NUM O
gardacorcia, NOUN O
muliebre, NOUN O
de, ADP O
vario, NOUN O
cum, ADP O
penna, NOUN O
edulorum, NOUN O

Item, ADV O
unum, NUM O
aliud, DET O
gardacorcium, NOUN O
et, CCONJ O
tunica, NOUN O
et, CCONJ O
capucium, NOUN O
de, ADP O
livido, ADJ O
panno, NOUN O
dicti, VERB O
Guillelmi, NOUN O
cum, ADP O
penna, NOUN O
edulorum, NOUN O
in, ADP O
gardacorsio, NOUN O
dicti, VERB O
Guillelmi, NOUN O

Item, ADV O
i, NUM O
tunica, NOUN O
de, ADP O
perieto, NOUN O
rubeo, NOUN O
muliebri, NOUN O
dicte, VERB O
eique, DET O
uxoris, NOUN O
cum, ADP O
planqueta, ADJ O
argenti, NOUN O

Item, ADV O
i, NUM O
cohopertorium, ADJ O
hendacium, NOUN O

Item, ADV O
i, NUM B-OBJECT
tunica, NOUN I-OBJECT
de, ADP I-OBJECT
camelino, NOUN I-OBJECT
veteri, NOUN I-OBJECT

Item, ADV O
i, NUM O
alia, DET O
tunica, NOUN O
de, ADP O
livido, NOUN O
panno, NOUN O

Item, ADV O
i, NUM B-OBJECT
gardacorcium, NOUN I-OBJECT
de, ADP I-OBJECT
camelino, NOUN I-OBJECT
cum, ADP I-OBJECT
